model,params,precision,recall,accuracy,f1-score
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.7263822171988321,0.42574804018990836,0.8721759010220549,0.5368417388883089
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 500}",0.7289870179095992,0.42469912774649443,0.8724256512718052,0.5367146893640772
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.7222065595338784,0.4242574804018991,0.8714266502728041,0.5345157363936707
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.7258522727272727,0.4231533620404107,0.8718204872051026,0.5346306758736138
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 500}",0.7307030951471151,0.42227006735122,0.8723968339352954,0.5352319641732559
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 50}",0.7320921117099461,0.4124434139339737,0.8715034965034965,0.5276316254105018
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 100}",0.7331560283687943,0.41089764822789004,0.8714746791669868,0.5266397792400764
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 40, 'n_estimators': 500}",0.7362115060897119,0.4104560008832947,0.8718300929839391,0.5270619926984014
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 50}",0.7221180880974696,0.4253615987633874,0.8715323138400062,0.535366870483602
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.7301406309388065,0.4242022744838247,0.8725313148390071,0.5366296529087227
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 500}",0.731585518102372,0.4205586838909131,0.8723295934834396,0.5340905107442073
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 50}",0.7225493920972644,0.4199514187920945,0.8710136017828326,0.5311779903638014
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 100}",0.7320217744246013,0.4231533620404107,0.8726754015215553,0.5362952597516178
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 500}",0.7326285439692456,0.4208347134812852,0.8725024975024975,0.5345909744380939
Random Forest,"{'class_weight': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 40, 'n_estimators': 50}",0.7339639373337274,0.41122888373633654,0.8716187658495351,0.5271202632416941
